"","Vertical_velocity","Vertical_diffusivity","Date","Layer"
"1",-2.36879515114197e-07,0.0365608595311642,19800105,1
"2",-4.50911869620541e-07,7.80275249481201,19800105,2
"3",-7.46173611787526e-07,7.50478553771973,19800105,3
"4",-1.12975726551667e-06,7.2744517326355,19800105,4
"5",-1.61088360073336e-06,6.87724876403809,19800105,5
"6",-2.1938521967968e-06,6.28120613098145,19800105,6
"7",-2.88547926174942e-06,6.15109443664551,19800105,7
"8",-3.69027611668571e-06,5.95971870422363,19800105,8
"9",-4.60288674730691e-06,5.79646253585815,19800105,9
"10",-5.63983348911279e-06,5.33740711212158,19800105,10
"11",-6.77899697620887e-06,5.14670753479004,19800105,11
"12",-8.02123031462543e-06,4.59096956253052,19800105,12
"13",-9.31698741624132e-06,4.49749374389648,19800105,13
"14",-1.06408970168559e-05,4.40190029144287,19800105,14
"15",-1.20392551252735e-05,4.17514276504517,19800105,15
"16",-1.34465863084188e-05,3.71473026275635,19800105,16
"17",-1.48068202179275e-05,3.3254861831665,19800105,17
"18",-1.60047147801379e-05,2.79763102531433,19800105,18
"19",-1.69156955962535e-05,2.00520586967468,19800105,19
"20",-1.75425320776412e-05,1.6535267829895,19800105,20
"21",-1.78962563950336e-05,1.16153621673584,19800105,21
"22",-1.81412633537548e-05,0.688072800636292,19800105,22
"23",-1.83068623300642e-05,0.0037785074673593,19800105,23
"24",-1.81302584678633e-05,0.00137661094777286,19800105,24
"25",-1.88471822184511e-05,0.000304561428492889,19800105,25
"26",-1.75853692780947e-05,0.000102748716017231,19800105,26
"27",-1.83962874871213e-05,6.51349473628215e-05,19800105,27
"28",-1.94369476957945e-05,4.86871613247786e-05,19800105,28
"29",-2.29755150940036e-05,4.02216355723795e-05,19800105,29
"30",-2.75159709417494e-05,3.12742849928327e-05,19800105,30
"31",-3.22115047310945e-05,2.26643860514741e-05,19800105,31
"32",-3.67990724043921e-05,1.66891586559359e-05,19800105,32
"33",-4.11069377150852e-05,1.28643769130576e-05,19800105,33
"34",-4.49176550318953e-05,1.24449188660947e-05,19800105,34
"35",-4.79016998724546e-05,1.37390925374348e-05,19800105,35
"36",-5.02532893733587e-05,1.43737715916359e-05,19800105,36
"37",-5.17423140991013e-05,1.52504844663781e-05,19800105,37
"38",-5.27030861121602e-05,1.62714059115387e-05,19800105,38
"39",-5.30871584487613e-05,1.74474389496027e-05,19800105,39
"40",-5.33044621988665e-05,1.87197238119552e-05,19800105,40
"41",-5.38650856469758e-05,2.00195663637714e-05,19800105,41
"42",-5.5494670959888e-05,2.12538543564733e-05,19800105,42
"43",-5.76140155317262e-05,2.24842078750953e-05,19800105,43
"44",-6.051311356714e-05,2.33359569392633e-05,19800105,44
"45",-6.54061077511869e-05,2.40711706283037e-05,19800105,45
"46",-6.97033683536574e-05,2.50621887971647e-05,19800105,46
"47",-7.4265459261369e-05,2.61565091932425e-05,19800105,47
"48",-7.81708949944004e-05,2.71899425570155e-05,19800105,48
"49",-7.85815136623569e-05,2.79672876786208e-05,19800105,49
"50",-7.81234048190527e-05,2.84115194517653e-05,19800105,50
"51",-7.69445832702331e-05,2.83536155620823e-05,19800105,51
"52",-6.64203980704769e-05,2.67872910626465e-05,19800105,52
"53",-6.40072030364536e-05,2.66065399046056e-05,19800105,53
"54",-6.27734625595622e-05,2.65204507741146e-05,19800105,54
"55",-7.09191372152418e-05,2.52878216997487e-05,19800105,55
"56",-7.56626322981901e-05,2.43319518631324e-05,19800105,56
"57",-6.17825644440018e-05,2.07995653909165e-05,19800105,57
"58",6.44822357571684e-05,2.70675736828707e-05,19800105,58
"59",0,0,19800105,59
"60",0,0,19800105,60
"61",0,0,19800105,61
"62",0,0,19800105,62
"63",0,0,19800105,63
"64",0,0,19800105,64
"65",0,0,19800105,65
"66",0,0,19800105,66
"67",0,0,19800105,67
"68",0,0,19800105,68
"69",0,0,19800105,69
"70",0,0,19800105,70
"71",0,0,19800105,71
"72",0,0,19800105,72
"73",0,0,19800105,73
"74",0,0,19800105,74
"75",0,0,19800105,75
